AuthorID,Author,Date,Content,Attachments,Reactions
"1292652323226779772","eb1120","2026-01-18T19:31:01.0590000+00:00","Yeah, if they invade, they have to deal with all of us","",""
"978288890928590899","mafi43211","2026-01-18T19:31:06.5990000+00:00","Dont give him a single cent","",""
"1154255244981698652","kzi_2","2026-01-18T19:31:19.6420000+00:00","Don't work with that shit stain","",""
"978288890928590899","mafi43211","2026-01-18T19:31:23.8480000+00:00","We are killing rainbow and ending this shit","",""
"1154255244981698652","kzi_2","2026-01-18T19:31:33.4030000+00:00","I'll see if I can get help from anyone","",""
"978288890928590899","mafi43211","2026-01-18T19:31:40.3620000+00:00","@KZI  find somebody to kill rainbow","",""
"1154255244981698652","kzi_2","2026-01-18T19:31:46.4030000+00:00","I mean Aneko will send some divisions if they feel like it","",""
"1195410543280930827","diaxmc","2026-01-18T19:31:47.4030000+00:00","Bruh ichen(nya) intervening","",""
"978288890928590899","mafi43211","2026-01-18T19:32:31.1240000+00:00","@everyone  NO WORKING WITH BJORN","","✅ (2)"
"978288890928590899","mafi43211","2026-01-18T19:32:37.6880000+00:00","no sneding him money","",""
"1154255244981698652","kzi_2","2026-01-18T19:32:44.1700000+00:00","Who would?","",""
"978288890928590899","mafi43211","2026-01-18T19:32:50.5270000+00:00","Oranje don't send him money","",""
"846666693883199539",".szymk.","2026-01-18T19:33:02.8310000+00:00","Buh","",""
"978288890928590899","mafi43211","2026-01-18T19:33:06.9150000+00:00","if he bombs your airforce","",""
"978288890928590899","mafi43211","2026-01-18T19:33:11.6920000+00:00","Kathai can bomb RRR","",""
"1154255244981698652","kzi_2","2026-01-18T19:33:16.1600000+00:00","We can call in Kathai","",""
"1292652323226779772","eb1120","2026-01-18T19:33:22.0610000+00:00","Yes","",""
"846666693883199539",".szymk.","2026-01-18T19:33:22.1580000+00:00","He gonna bomb it","",""
"1292652323226779772","eb1120","2026-01-18T19:33:30.6970000+00:00","But that's all in the future","",""
"978288890928590899","mafi43211","2026-01-18T19:33:31.8150000+00:00","Still, don't give him money","",""
"1154255244981698652","kzi_2","2026-01-18T19:33:32.5680000+00:00","Or make Lem enact the United pact","",""
"1292652323226779772","eb1120","2026-01-18T19:33:39.5730000+00:00","Aslo, this is the warhost","",""
"1154255244981698652","kzi_2","2026-01-18T19:33:47.7670000+00:00","Rainbow is making us all enemies","",""
"1292652323226779772","eb1120","2026-01-18T19:33:53.4270000+00:00","Is nobody else concerned about that?","",""
"1154255244981698652","kzi_2","2026-01-18T19:33:54.4920000+00:00","Rainbow is the real threat","","✅ (2)"
"1154255244981698652","kzi_2","2026-01-18T19:34:10.6890000+00:00","I am but what can we do?","",""
"1154255244981698652","kzi_2","2026-01-18T19:34:17.8270000+00:00","Request another one?","",""
"846666693883199539",".szymk.","2026-01-18T19:34:30.6940000+00:00","Okay listen
Ichenya did said they establish peacekeeping zone
If they literally gonna go to war with us, just inform everyone that they bunch of liars and we will get People support","","✅ (4)"
"978288890928590899","mafi43211","2026-01-18T19:34:38.7150000+00:00","also @Oranje  all the money you send to bjorn","",""
"978288890928590899","mafi43211","2026-01-18T19:34:41.9790000+00:00","he will use to fund RRR","",""
"978288890928590899","mafi43211","2026-01-18T19:34:43.3570000+00:00","soo dont","",""
"846666693883199539",".szymk.","2026-01-18T19:35:00.7350000+00:00","Yes","",""
"978288890928590899","mafi43211","2026-01-18T19:35:09.8760000+00:00","Dont send him the money","",""
"1154255244981698652","kzi_2","2026-01-18T19:35:10.1720000+00:00","K, found someone who can.","",""
"978288890928590899","mafi43211","2026-01-18T19:35:22.4910000+00:00","kz find a assasin","",""
"1154255244981698652","kzi_2","2026-01-18T19:35:30.5560000+00:00","But it's not a 100%","",""
"1154255244981698652","kzi_2","2026-01-18T19:35:37.0890000+00:00","Done","",""
